formerly,Family,2014 Checklist Species,Authority,FOODPLANT,1,2,3,4,5,6,7,8,9,10,11,12,gen,HABIT,Notes,Cameron synonym,NOTES,forum members,"Cameron larvae vol,pl.-fig. ",Species with larvae illustrated in Vollenhoven,Voll. no.,V.H.Chambers Notebooks,KJGrearson,Quinlan,Zahradnik,Chinery,Carter & H.,Redfern & Shirley,D.R.Smith,Denbighs,Derbys,Chesh.,Lancs.,web link,,,
,Cephidae,Calameuta filiformis,"(Eversmann,1847)",Poaceae: Arrhenatherum elatius(False Oat Grass),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Calameuta filiformis,"(Eversmann,1847)",Poaceae: Calamagrostis epigeios (Wood Small-reed),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Calameuta filiformis,"(Eversmann,1847)",Poaceae: Elymus repens (Common Couch Grass),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Calameuta filiformis,"(Eversmann,1847)",Poaceae: Elymus repens (Common Couch Grass),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Calameuta filiformis,"(Eversmann,1847)",Poaceae: Phalaris arundinacea (Reed Canary-grass),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Calameuta filiformis,"(Eversmann,1847)",Poaceae: Phragmites australis (Common Reed),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Calameuta pallipes,"(Klug,1803)",unknown,,,,,,,,,,,,,,Mine:stem,,"Phylloecus phtisicus, Fab",widespread,,,,,,,fig. 19,,,,,,,,58,[59/60],,,,
,Cephidae,Cephus nigrinus,"Thomson,1871",Poaceae: Poa pratensis (Smooth Meadow Grass),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,58,,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Bromus spp. (Brome grasses),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Poaceae spp. (grasses),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Poaceae: Avena spp. (oats),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Poaceae: Elymus spp. (Couch grasses),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Poaceae: Hordeum spp. (Barleys),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Poaceae: Phleum pratense (Timothy Grass),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus pygmeus,"(Linnaeus,1767)",Poaceae: Secale cereale (Rye),,,,,,,,,,,,,,Mine:stem,,Cephus pygmaeus,,,"3, 4 - 8",,,,,fig. 19,,,,,,,,[58],,,,,
,Cephidae,Cephus spinipes,"(Panzer,1800)",Poaceae: Phleum pratense (Timothy Grass),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,50,,,,,,,
Janus femoratus,Cephidae,Janus cynosbati,"(Linnaeus,1758)",Quercus spp. (Oaks),,,,,,,,,,,,,,Mine:shoots,,Cephus femoratus,,,"3, 4 - 9",,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Janus luteipes,"(Lepeletier,1823)",Populus spp. (Poplars),,,,,,,,,,,,,,Mine:shoots,,,,,,,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Janus luteipes,"(Lepeletier,1823)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,Mine:shoots,,,,,,,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Janus luteipes,"(Lepeletier,1823)","Viburnum spp. (Guelder Rose, Wayfarer)",,,,,,,,,,,,,,Mine:shoots,,,,,,,,,,fig. 19,,,,,,,,,,,,,
"Hartigia linearis (Schrank,1781)",Cephidae,Phylloecus linearis,"(Schrank,1781)",Agrimonia eupatorium (Agrimony),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,,,none,,,
Hartigia nigra,Cephidae,Phylloecus niger,"(M.Harris,1779)",Rubus idaeus (Raspberry),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,,,,,,
Hartigia xanthostoma,Cephidae,Phylloecus xanthostoma,"(Eversmann,1847)",Filipendula ulmaria (Meadowsweet),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Trachelus tabidus,"(Fabricius,1775)",Poaceae spp. (grasses),,,,,,,,,,,,,,Mine:stem,,,SE of Severn-Humber. Common in Fens,,,,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Trachelus tabidus,"(Fabricius,1775)",Poaceae: Hordeum vulgare (Six-rowed Barley),,,,,,,,,,,,,,Mine:stem,,,SE of Severn-Humber. Common in Fens,,,,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Trachelus tabidus,"(Fabricius,1775)",Poaceae: Secale cereale (Rye),,,,,,,,,,,,,,Mine:stem,,,SE of Severn-Humber. Common in Fens,,,,,,,fig. 19,,,,,,,,,,,,,
,Cephidae,Trachelus tabidus,"(Fabricius,1775)",Poaceae: Triticum spp. (Wheat),,,,,,,,,,,,,,Mine:stem,,,SE of Severn-Humber. Common in Fens,,,,,,,fig. 19,,,,,,,,,,,,,
