formerly,Family,2014 Checklist Species,Authority,FOODPLANT,1,2,3,4,5,6,7,8,9,10,11,12,gen,HABIT,Notes,Cameron synonym,NOTES,forum members,"Cameron larvae vol,pl.-fig. ",Species with larvae illustrated in Vollenhoven,Voll. no.,V.H.Chambers Notebooks,KJGrearson,Quinlan,Zahradnik,Chinery,Carter & H.,Redfern & Shirley,D.R.Smith,Denbighs,Derbys,Chesh.,Lancs.,web link,,,
,Pamphiliidae,Pamphilius gyllenhali,"(Dahlbom,1835)",Salix aurita (Eared Willow),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,,58,,,,,
,Pamphiliidae,Pamphilius gyllenhali,"(Dahlbom,1835)",Salix caprea (Goat Willow),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,,58,,,,,
,Pamphiliidae,Pamphilius histrio,"Latreille,1812",Populus tremula (Aspen),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Pamphilius hortorum,"(Klug,1808)",Rubus idaeus (Raspberry),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,57,58,,,,,
,Pamphiliidae,Pamphilius inanitus,"(Villers,1789)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, leaf-roll",larvae may carry leaf-roll,Pamphilius inanitus,,,"2,12-14",,,,,fig. 17,,,,,,,,[58],,,,,
,Pamphiliidae,Pamphilius latifrons,"(Fallén,1808)",Populus tremula (Aspen),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Pamphilius pallipes,"(Zetterstedt,1838)",Betula spp. (Birches),,,,,,,,,,,,,,"Solitary, leaf-roll",,,,,,,,,,fig. 17,,,,,,,,58,,,,,
,Pamphiliidae,Pamphilius stramineipes,"(Hartig,1837)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, tent","one or more leaves are loosely spun together, distinct leaf rolls are not made.",Pamphilius arbustorumnec Fab.(Cam. unsure det.),,,"2,12-8&10",,,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Pamphilius sylvarum,"(Stephens,1835)",Quercus spp. (Oaks),,,,,,,,,,,,,,"Solitary, tent",,,,,,,,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Pamphilius sylvaticus,"(Linnaeus,1758)",Crataegus spp. (Hawthorns),,,,,,,,,,,,,,"Gregarious, web",,"Pamphilius flaviventris, sylvaticus,lutescens,pyri, clypeata, sylvatica, albifrons, fasciata,",,,"2,12-12  3,4 -7",Lyda clypeata Klug,V211,,,fig. 17,,,,,,,,58,59/60,,,,
,Pamphiliidae,Pamphilius sylvaticus,"(Linnaeus,1758)","Prunus spp. (Cherries, Plums, etc)",,,,,,,,,,,,,,"Gregarious, web",,"Pamphilius flaviventris, sylvaticus,lutescens,pyri, clypeata, sylvatica, albifrons, fasciata,",,,"2,12-12  3,4 -7",Lyda clypeata Klug,V211,,,fig. 17,,,,,,,,58,59/60,,,,
,Pamphiliidae,Pamphilius sylvaticus,"(Linnaeus,1758)","Prunus spp. (Cherries, Plums, etc)",,,,,,,,,,,,,,"Gregarious, web",,,,,,Lyda clypeata Klug,V211,,,,,,,,,,,,,,,,
,Pamphiliidae,Pamphilius sylvaticus,"(Linnaeus,1758)","Sorbus (Rowans, Whitebeams)",,,,,,,,,,,,,,"Gregarious, web",,"Pamphilius flaviventris, sylvaticus,lutescens,pyri, clypeata, sylvatica, albifrons, fasciata,",,,"2,12-12  3,4 -7",Lyda clypeata Klug,V211,,,fig. 17,,,,,,,,58,59/60,,,,
,Pamphiliidae,Pamphilius vafer,"(Linnaeus,1767)",Alnus spp. (Alders),,,,,,,,,,,,,,"Solitary, leaf-roll",roll the leaf to a conical sack,,,,,,,,,fig. 17,,,,,,,,,[59/60],,,,
,Pamphiliidae,Pamphilius varius,"(Serville,1823)",Betula spp. (Birches),,,,,,,,,,,,,,"Solitary, tent",,,,,,,,,,fig. 17,,,,,,,,[58],,,,,
,Siricidae,Sirex areolatus,"(Cresson,1867)","(timber, imported)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Sirex areolatus,"(Cresson,1867)","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Sirex juvencus,"(Linnaeus,1758)","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,[58],[59/60],,,,
,Siricidae,Sirex noctilio,"Fabricius,1793","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,[58],[59/60],,,,
Sirex cyaneus,Siricidae,Sirex torvus,"M.Harris,1779","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,[58],[59/60],,,,
,Siricidae,Tremex columba,"(Linnaeus,1763)","(timber, imported)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Tremex columba,"(Linnaeus,1763)","Acer spp.(Sycamore, Field Maple)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,none,,,
,Siricidae,Tremex columba,"(Linnaeus,1763)",Quercus spp. (Oaks),,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,no larva,,,
,Siricidae,Tremex columba,"(Linnaeus,1763)",Ulmus spp. (Elms),,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus albicornis,"(Fabricius,1781)","(timber, imported)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,[58],[59/60],,,,
,Siricidae,Urocerus augur,"(Klug,1803)","(timber, imported)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus augur,"(Klug,1803)","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus californicus,"Norton,1869","(timber, imported)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus californicus,"Norton,1869","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus fantoma,"(Fabricius,1781)","(timber, imported)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus fantoma,"(Fabricius,1781)","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,,,,,
,Siricidae,Urocerus gigas,"(Linnaeus,1758)","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,Sirex gigas,,,"3,4 - 12",,,,,,,,,,,,,[58],[59/60],,,,
,Siricidae,Xeris spectrum,"(Linnaeus,1758)","Pinacea spp: (firs, spruce, larch, pine)",,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Siricidae,Xeris spectrum,"(Linnaeus,1758)",Pinacea: Larix spp. (Larch),,,,,,,,,,,,,,Mine:heartwood,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Aglaostigma aucupariae,"(Klug,1817)",Galium aparine (Cleavers),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,50,57,58,[59/60],,,,
,Tenthredinidae,Aglaostigma aucupariae,"(Klug,1817)",Galium boreale (Northern Bedstraw),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,50,57,58,[59/60],,,,
,Tenthredinidae,Aglaostigma aucupariae,"(Klug,1817)",Galium mollugo (Hedge Bedstraw),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,50,57,58,[59/60],,,,
,Tenthredinidae,Aglaostigma fulvipes,"(Scopoli,1763)",Galium mollugo (Hedge Bedstraw),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,57,58,[59/60],,,,
,Tenthredinidae,Aglaostigma fulvipes,"(Scopoli,1763)",Galium verum (Lady's Bedstraw),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,57,58,[59/60],,,,
Emphytus basalis,Tenthredinidae,Allantus basalis,"(Klug,1818)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, free",,,larva distinguishable? from cinctus,,,,,,,,,,,,"4 p 14,110,113",,,,,,,,
"Emphytus calceatus (Klug,1818)",Tenthredinidae,Allantus calceatus,"(Klug,1818)",Alchemilla spp.(Lady's Mantle),,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
"Emphytus calceatus (Klug,1818)",Tenthredinidae,Allantus calceatus,"(Klug,1818)",Alchemilla vulgaris (Lady's Mantle),,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
,Tenthredinidae,Allantus calceatus,"(Klug,1818)",Filipendula ulmaria (Meadowsweet),,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
,Tenthredinidae,Allantus calceatus,"(Klug,1818)",Fragaria spp. (Strawberries),,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
"Emphytus calceatus (Klug,1818)",Tenthredinidae,Allantus calceatus,"(Klug,1818)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
,Tenthredinidae,Allantus calceatus,"(Klug,1818)","Rubus spp. (Brambles, Raspberry, etc)",,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
,Tenthredinidae,Allantus calceatus,"(Klug,1818)",Sanguisorba officinalis (Great Burnet),,,,,,,,,,,,,,"Solitary, free",,"Allantus calceatus, Kl.",,,"1,2-1",,,,,,,,,,,,,[58],,,,,
Allantus cinctus,Tenthredinidae,Allantus cinctus,"(Linnaeus,1758)",Fragaria spp. (Strawberries),,,,,,,,,,,,,,"Solitary, free",,Allantus cinctus,larva distinguishable?from basalis,,"1,6-4",Allantus cinctus Linn.,V105,,KJG,,,,,,"4-19,p14,110,116",,,58,[59/60],http://branchingout.cornell.edu/picturefolder/GRAPHICSCANS/CurlRoseSawflyA.JPG,,,
,Tenthredinidae,Allantus cinctus,"(Linnaeus,1758)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, free",,Allantus cinctus,larva distinguishable?from basalis,,"1,6-4",Allantus cinctus Linn.,V105,,KJG,,,,,,"4-19,p14,110,116",,,58,[59/60],http://branchingout.cornell.edu/picturefolder/GRAPHICSCANS/CurlRoseSawflyA.JPG,,,
,Tenthredinidae,Allantus cinctus,"(Linnaeus,1758)","Rosaceae: (Fruit trees, Roses, Hawthorns, etc.)",,,,,,,,,,,,,,"Solitary, free",,Allantus cinctus,larva distinguishable?from basalis,,"1,6-4",Allantus cinctus Linn.,V105,,KJG,,,,,,"4-19,p14,110,116",,,58,[59/60],http://branchingout.cornell.edu/picturefolder/GRAPHICSCANS/CurlRoseSawflyA.JPG,,,
Emphytus cingulatus,Tenthredinidae,Allantus cingulatus,"(Scopoli,1763)",Fragaria spp. (Strawberries),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,KJG,,,,,,,50,,,,,,,
,Tenthredinidae,Allantus cingulatus,"(Scopoli,1763)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,KJG,,,,,,,50,,,,,,,
Emphytus coryli,Tenthredinidae,Allantus coryli,"(Stritt,1937)",Corylus avellana (Hazel),,,,,,,,,,,,,,"Solitary, free",,,only one adult taken in Brit. (Surrey),,,,,,,,,,,,,,,,,,,,
Emphytus melanarius,Tenthredinidae,Allantus melanarius,"(Klug,1818)",Cornus sanguinea (Dogwood),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,,,,,,
Emphytus rufocinctus,Tenthredinidae,Allantus rufocinctus,"(Retzius,1783)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,[58],[59/60],,,,
,Tenthredinidae,Allantus rufocinctus,"(Retzius,1783)","Rubus spp. (Brambles, Raspberry, etc)",,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,[58],[59/60],,,,
,Tenthredinidae,Allantus togatus,"(Panzer,1801)",Betula spp. (Birches),,,,,,,,,,,,,,"Solitary, free",,Emphytus togatus,,,"1,7-2",,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Allantus togatus,"(Panzer,1801)",Quercus spp. (Oaks),,,,,,,,,,,,,,"Solitary, free",,Emphytus togatus,,,"1,7-2",,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Allantus togatus,"(Panzer,1801)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,"Solitary, free",,Emphytus togatus,,,"1,7-2",,,,,,,,,,,,,,[59/60],,,,
Allantus truncatus,Tenthredinidae,Allantus truncatus,"(Klug,1818)",Potentilla erecta (Tormentil),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,,,none,,,
,Tenthredinidae,Allantus truncatus,"(Klug,1818)",Rosa spp. (Roses),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,,,none,,,
,Tenthredinidae,Allantus truncatus,"(Klug,1818)",Sanguisorba officinalis (Great Burnet),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,,,none,,,
,Tenthredinidae,Amauronematus abnormis,"(Holmgren,1883)",Salix herbacea (Dwarf Willow),,,,,,,,,,,,,,"Solitary, free",,,,,,,,,,,,,,,,,,,,,,,
Pontopristia amentorum,Tenthredinidae,Amauronematus amentorum,"(Förster,1854)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,"Solitary, free",on catkins,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus amplus,"Konow,1895",Betula spp. (Birches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus fasciatus,"Konow,1897","Salix spp. (Sallows, Willows) - broad-leaved species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus godmani,"Benson,1955",unstated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus hedstroemi,"Malaise,1931","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus histrio,"(Serville,1823)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Amauronematus humeralis,"(Serville,1823)",Salix atrocinerea (Rusty Sallow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,
,Tenthredinidae,Amauronematus krausi,"Taeger&Blank,1998",Populus tremula (Aspen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Amauronematus lateralis,"Konow,1896","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachycoluma leucolenus,Tenthredinidae,Amauronematus leucolenus,"(Brischke,1883)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus longiserra,"(Thomson,1863)",Salix aurita (Eared Willow),,,,,,,,,,,,,,,,NOT longiserraThomson in Cameron,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus mcluckieae,"Benson,1935",Salix herbacea (Dwarf Willow),,,,,,,,,,,,,,,,,high Grampians,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus miltonotus,"(Zaddach,1883)",Salix viminalis (Common Osier),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Amauronematus mundus,"Konow,1895",Salix repens (Creeping Willow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus sagmarius,"Konow,1895","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus semilacteus,"(Zaddach,1883)",Salix aurita (Eared Willow),,,,,,,,,,,,,,,,,"Culbin Sands Moray, Aviemore",,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus semilacteus,"(Zaddach,1883)",Salix caprea (Goat Willow),,,,,,,,,,,,,,,,,"Culbin Sands Moray, Aviemore",,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus semilacteus,"(Zaddach,1883)",Salix cinerea (Grey Willow),,,,,,,,,,,,,,,,,"Culbin Sands Moray, Aviemore",,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus semilacteus,"(Zaddach,1883)",Salix repens (Creeping Willow),,,,,,,,,,,,,,,,,"Culbin Sands Moray, Aviemore",,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus semilacteus,"(Zaddach,1883)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,"Culbin Sands Moray, Aviemore",,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus toeniatus,"(Serville,1823)",Salix fragilis (Crack Willow),,,,,,,,,,,,,,,,,scarce,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus toeniatus,"(Serville,1823)","Salix spp. (Sallows, Willows) - smooth-leaved species",,,,,,,,,,,,,,,,,scarce,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Amauronematus tunicatus,"(Zaddach,1883)","Salix spp. (Sallows, Willows) - broad-leaved species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachycoluma viduatus,Tenthredinidae,Amauronematus viduatus,"(Zetterstedt,1838)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
Brachycoluma viduatus,Tenthredinidae,Amauronematus viduatus,"(Zetterstedt,1838)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Amauronematus vittatus,"(Serville,1823)",Salix repens (Creeping Willow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Ametastegia albipes,"(Thomson,1871)",Populus tremula (Aspen),,,,,,,,,,,,,,,,Blennocampa albipesadult only,,,,,,,,,,,,,,,,58,,,,,
,Tenthredinidae,Ametastegia albipes,"(Thomson,1871)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,Blennocampa albipesadult only,,,,,,,,,,,,,,,,58,,,,,
,Tenthredinidae,Ametastegia carpini,"(Hartig,1837)",Geranium spp. (Crane'sbills),,,,,,,,,,,,,,,,,,,,,,,KJG,,,,,,,,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia carpini,"(Hartig,1837)",Geranium sylvaticum (Wood Crane'sbill),,,,,,,,,,,,,,,,,,,,,,,KJG,,,,,,,,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia equiseti,"(Fallén,1808)",Chenopodium album (Fat Hen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 p14,73,83",,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia equiseti,"(Fallén,1808)",Lythrum salicaria (Purple Loosestrife),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 p14,73,83",,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia equiseti,"(Fallén,1808)",Polygonum persicaria (Redshank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 p14,73,83",,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia equiseti,"(Fallén,1808)",Rumex acetosella (Sheep's Sorrel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 p14,73,83",,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)","Chenopodium spp. (Goosefoots, Fat Hen, etc)",,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)",Fagopyron esculentum (Buckwheat),,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)",Plantago spp. (Plantains),,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)","Polygonum (Bistorts, Knotgrasses)",,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)",Rheum (Rhubarb),,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)","Rumex  spp. (Docks, Sorrels)",,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia glabrata,"(Fallén,1808)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,,,Taxonus glabratus,,,"1,2-3",,,,,,,,,,"4 p14,73,85,86",50,,[58],[59/60],,,,
,Tenthredinidae,Ametastegia pallipes,"(Spinola,1808)",Viola spp. (Violets),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4-14,p14,73,89",,,58,,,,,
,Tenthredinidae,Ametastegia perla,"(Klug,1818)",Polygonum persicaria (Redshank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Ametastegia perla,"(Klug,1818)",Populus spp. (Poplars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Ametastegia perla,"(Klug,1818)",Salix viminalis (Common Osier),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Ametastegia tenera,"(Fallén,1808)","Rumex  spp. (Docks, Sorrels)",,,,,,,,,,,,,,,,,no reliable larva description,,,,,,,,,,,,4 96(no detail),,,[58],[59/60],,,,
,Tenthredinidae,Aneugmenus coronatus,"(Klug,1818)",Filicales (true ferns),,,,,,,,,,,,,,,,,,,,Selandria cereipes Voll.,V026a,,,,,,,,,,,,,,,,
Atoposelandria  fürstenbergensis,Tenthredinidae,Aneugmenus fuerstenbergensis,"(Konow,1885)",Filicales (true ferns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[59/60],,,,
,Tenthredinidae,Aneugmenus padi,"(Linnaeus,1760)",Filicales (true ferns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,57,58,[59/60],,,,
,Tenthredinidae,Aneugmenus temporalis,"(Thomson,1871)",Filicales (true ferns),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Anoplonyx destructor,"Benson,1952",Pinacea: Larix spp. (Larch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],,,,
,Tenthredinidae,Apethymus filiformis,"(Klug,1818)",Quercus spp. (Oaks),,,,,,,,,,,,,,,,Emphytus serotinus(larva)Klug  E.filiformis(imago?)Klug,,,"1,3-12",Emphytus serotinus Klug,V112,,KJG,,,,,,,,,58,[59/60]?,,,,
,Tenthredinidae,Apethymus serotinus,"(O.F.Müller,1776)",Quercus spp. (Oaks),,,,,,,,,,,,,,,,Emphytus tibialis Panzer,CONFUSION? S0155 S0154,,"2,13-2",Emphytus tibialis Panzer,V110,,,,,,,,,,,,,,,,
Ardis bipunctata,Tenthredinidae,Ardis pallipes,"(Serville,1823)",Rosa spp. (Roses),,,,,,,,,,,,,,Mine:stem,,,larva distinct,Redmunds,,"Selandria candidata, Fall. repanda Klug",V149b,,,,,,,,"1-15,p4,17,112",,,58,[59/60],,,,
,Tenthredinidae,Athalia ancilla,"Serville,1823",Alliaria spp. (Garlic mustard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],none,,,
,Tenthredinidae,Athalia ancilla,"Serville,1823","Cruciferae spp. (cabbages, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],none,,,
,Tenthredinidae,Athalia ancilla,"Serville,1823",Erysimum cheiranthoides (Wormseed mustard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],none,,,
,Tenthredinidae,Athalia ancilla,"Serville,1823",Raphanus raphanistrum (Radish),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],none,,,
,Tenthredinidae,Athalia ancilla,"Serville,1823","Sisymbrium spp. (Hedge Mustard, Rocket, etc)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],none,,,
Athalia richardi,Tenthredinidae,Athalia bicolor,"Serville,1823",Ranunculus spp. (Buttercups),,,,,,,,,,,,,,,,,Ranunculus??,,,,,,,,,,,,,50,57,58,,,,,
,Tenthredinidae,Athalia circularis,"(Klug,1815)",Glechoma hederacea (Ground Ivy),,,,,,,,,,,,,,,,,,,,,,,KJG,,,,,,,50,,58,[59/60],,,,
,Tenthredinidae,Athalia circularis,"(Klug,1815)",Lycopus europaeus(Gipsywort),,,,,,,,,,,,,,,,,,,,,,,KJG,,,,,,,50,,58,[59/60],,,,
,Tenthredinidae,Athalia circularis,"(Klug,1815)",Plantago spp. (Plantains),,,,,,,,,,,,,,,,,,,,,,,KJG,,,,,,,50,,58,[59/60],,,,
,Tenthredinidae,Athalia circularis,"(Klug,1815)",Veronica spp. (Speedwells),,,,,,,,,,,,,,,,,,,,,,,KJG,,,,,,,50,,58,[59/60],,,,
,Tenthredinidae,Athalia cordata,"Serville,1823",Ajuga reptans (Bugle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,[59/60],none,,,
,Tenthredinidae,Athalia cordata,"Serville,1823",Antirrhinum major (Snapdragon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,[59/60],,,,
,Tenthredinidae,Athalia cordata,"Serville,1823",Plantago spp. (Plantains),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,58,[59/60],,,,
,Tenthredinidae,Athalia cornubiae,"Benson,1931",Sedum album (White Stonecrop),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenthredinidae,Athalia liberta,"(Klug,1815)",Alliaria spp. (Garlic mustard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],,,,
,Tenthredinidae,Athalia liberta,"(Klug,1815)",Cardamine hirsuta (Hairy Bittercress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,[59/60],,,,
